國字,審定音
炮,ㄅㄠ;ㄆㄠˊ;ㄆㄠˋ
烙,ㄌㄠˋ;ㄌㄨㄛˋ
無,ㄨˊ;ㄇㄛˊ
煞,ㄕㄚ;ㄕㄚˋ
熨,ㄩㄣˋ;ㄩˋ
燉,ㄉㄨㄣ;ㄉㄨㄣˋ
燕,丨ㄢ;丨ㄢˋ
燥,ㄗㄠˋ;ㄙㄠˋ
爪,ㄓㄠˇ;ㄓㄨㄚˇ
父,ㄈㄨˇ;ㄈㄨˋ
犍,ㄐ丨ㄢ ;ㄑ丨ㄢˊ 
猗,丨;丨ˇ;ㄜˇ
猲,ㄏㄜˋ;ㄒ丨ㄝ
率,ㄌㄩˋ;ㄕㄨㄞˋ
王,ㄨㄤˊ;ㄨㄤˋ
瑒,ㄔㄤˋ;丨ㄤˊ 
瓦,ㄨㄚˇ;ㄨㄚˋ
甚,ㄕㄣˊ;ㄕㄣˋ
町,ㄉ丨ㄥ;ㄊ丨ㄥˇ 
畜,ㄒㄩˋ;ㄔㄨˋ
番,ㄈㄢ;ㄆㄢ
畬,ㄕㄜ;ㄩˊ
當,ㄉㄤ;ㄉㄤˋ
癟,ㄅ丨ㄝˇ;ㄅ丨ㄝ
百,ㄅㄞˇ;ㄅㄛˊ
的,˙ㄉㄜ;ㄉ丨ˊ;ㄉ丨ˋ
盛,ㄔㄥˊ;ㄕㄥˋ
監,ㄐ丨ㄢ;ㄐ丨ㄢˋ
省,ㄒ丨ㄥˇ;ㄕㄥˇ
相,ㄒ丨ㄤ;ㄒ丨ㄤˋ
看,ㄎㄢ;ㄎㄢˋ
睪,丨ˋ;ㄍㄠ
瞑,ㄇ丨ㄢˋ;ㄇ丨ㄥˊ
瞭,ㄌ丨ㄠˇ;ㄌ丨ㄠˋ
瞿,ㄐㄩˋ;ㄑㄩˊ
矇,ㄇㄥ;ㄇㄥˊ
石,ㄉㄢˋ;ㄕˊ
砌,ㄑ丨ˋ;ㄑ丨ㄝˋ
磅,ㄅㄤˋ;ㄆㄤ
磨,ㄇㄛˊ;ㄇㄛˋ
祇,ㄑ丨ˊ;ㄓˇ
祭,ㄐ丨ˋ;ㄓㄞˋ
禁,ㄐ丨ㄣ;ㄐ丨ㄣˋ
禪,ㄔㄢˊ;ㄕㄢˋ
禰,ㄇ丨ˊ;ㄋ丨ˇ
秤,ㄆ丨ㄥˊ;ㄔㄥˋ
秘,ㄅ丨ˋ;ㄇ丨ˋ
種,ㄓㄨㄥˇ;ㄓㄨㄥˋ
稱,ㄔㄥ;ㄔㄥˋ
稽,ㄐ丨;ㄑ丨ˇ
空,ㄎㄨㄥ;ㄎㄨㄥˋ
答,ㄉㄚ;ㄉㄚˊ
簸,ㄅㄛˇ;ㄅㄛˋ
粘,ㄋ丨ㄢˊ;ㄓㄢ
粥,ㄓㄡ;ㄓㄨˋ;ㄩˋ
紅,ㄏㄨㄥˊ;ㄍㄨㄥ
累,ㄌㄟˇ;ㄌㄟˋ
結,ㄐ丨ㄝ;ㄐ丨ㄝˊ
絡,ㄌㄠˋ;ㄌㄨㄛˋ
給,ㄍㄟˇ;ㄐ丨ˇ
綸,ㄌㄨㄣˊ;ㄍㄨㄢ
綮,ㄑ丨ˇ;ㄑ丨ㄥˋ 
繆,ㄇㄡˊ;ㄇ丨ㄠˋ;ㄇ丨ㄡˋ
繃,ㄅㄥ;ㄅㄥˇ;ㄅㄥˋ
縫,ㄈㄥˊ;ㄈㄥˋ
縱,ㄗㄨㄥ;ㄗㄨㄥˋ
繁,ㄆㄛˊ;ㄈㄢˊ
繫,ㄐ丨ˋ;ㄒ丨ˋ
繳,ㄐ丨ㄠˇ;ㄓㄨㄛˊ
署,ㄕㄨˇ;ㄕㄨˋ
罷,ㄅㄚˋ;˙ㄅㄚ;ㄆ丨ˊ
羋,ㄇ丨ˇ;ㄇ丨ㄝ
翟,ㄉ丨ˊ;ㄓㄞˊ
翹,ㄑ丨ㄠˊ;ㄑ丨ㄠˋ
聽,ㄊ丨ㄥ;ㄊ丨ㄥˋ
肚,ㄉㄨˇ;ㄉㄨˋ
胖,ㄆㄢˊ;ㄆㄤˋ
背,ㄅㄟ;ㄅㄟˋ
脈,ㄇㄞˋ;ㄇㄛˋ
脯,ㄆㄨˊ;ㄈㄨˇ
腊,ㄒ丨ˊ ;ㄌㄚˋ
膀,ㄅㄤˇ;ㄆㄤ;ㄆㄤˊ;ㄅㄤˋ
膏,ㄍㄠ;ㄍㄠˋ
臊,ㄙㄠ;ㄙㄠˋ 
臭,ㄒ丨ㄡˋ;ㄔㄡˋ
與,ㄩˊ;ㄩˇ;ㄩˋ
興,ㄒ丨ㄥ;ㄒ丨ㄥˋ
舍,ㄕㄜˇ;ㄕㄜˋ
般,ㄅㄛ;ㄅㄢ;ㄆㄢˊ
艮,ㄍㄣˇ;ㄍㄣˋ
色,ㄙㄜˋ;ㄕㄞˇ
艾,ㄞˋ;丨ˋ
茄,ㄐ丨ㄚ;ㄑ丨ㄝˊ
若,ㄖㄜˇ;ㄖㄨㄛˋ
苔,ㄊㄞ;ㄊㄞˊ
茲,ㄗ;ㄘˊ
莎,ㄕㄚ;ㄙㄨㄛ
莞,ㄍㄨㄢ;ㄨㄢˇ;ㄍㄨㄢˇ
荷,ㄏㄜˊ;ㄏㄜˋ
荼,ㄊㄨˊ;ㄕㄨ
華,ㄏㄨㄚ;ㄏㄨㄚˊ;ㄏㄨㄚˋ
著,˙ㄓㄜ;ㄓㄠ;ㄓㄠˊ;ㄓㄨˋ;ㄓㄨㄛˊ
菲,ㄈㄟ;ㄈㄟˇ
葷,ㄏㄨㄣ;ㄒㄩㄣ
落,ㄌㄚˋ;ㄌㄠˋ;ㄌㄨㄛˋ
葉,ㄕㄜˋ;丨ㄝˋ
葛,ㄍㄜˊ;ㄍㄜˇ
蓋,ㄍㄜˇ;ㄍㄞˋ
蔚,ㄨㄟˋ;ㄩˋ
蔓,ㄇㄢˊ;ㄇㄢˋ
蓼,ㄌ丨ㄠˇ;ㄌㄨˋ 
蕃,ㄈㄢ;ㄈㄢˊ;ㄅㄛ
薄,ㄅㄛˊ;ㄅㄛˋ
藏,ㄗㄤˋ;ㄘㄤˊ
藉,ㄐ丨ˊ;ㄐ丨ㄝˋ
薺,ㄐ丨ˋ;ㄑ丨ˊ 
藷,ㄓㄨ;ㄕㄨˇ
蘋,ㄆ丨ㄣˊ;ㄆ丨ㄥˊ
虎,ㄏㄨˇ;ㄏㄨ
處,ㄔㄨˇ;ㄔㄨˋ
號,ㄏㄠˊ;ㄏㄠˋ
虫,ㄏㄨㄟˇ;ㄔㄨㄥˊ
虺,ㄏㄨㄟ;ㄏㄨㄟˇ 
蛇,ㄕㄜˊ;丨ˊ
蚵,ㄎㄜ;ㄜˊ
蛆,ㄐㄩ;ㄑㄩ
蛤,ㄍㄜˊ;ㄏㄚˊ
蝦,ㄒ丨ㄚ;ㄏㄚˊ
螞,ㄇㄚˇ;ㄇㄚˋ
蠡,ㄌ丨ˊ;ㄌ丨ˇ
行,ㄏㄤˊ;ㄏㄤˋ;ㄒ丨ㄥˊ;ㄒ丨ㄥˋ
衝,ㄔㄨㄥ;ㄔㄨㄥˋ
衣,丨;丨ˋ
衰,ㄕㄨㄞ;ㄘㄨㄟ
裳,ㄔㄤˊ;˙ㄕㄤ
裨,ㄅ丨ˋ;ㄆ丨ˊ
褶,ㄉ丨ㄝˊ;ㄒㄩㄝˊ;ㄓㄜˊ
要,丨ㄠ;丨ㄠˋ
覃,ㄊㄢˊ;ㄑ丨ㄣˊ
親,ㄑ丨ㄣ;ㄑ丨ㄥˋ
覺,ㄐ丨ㄠˋ;ㄐㄩㄝˊ
觀,ㄍㄨㄢ;ㄍㄨㄢˋ
角,ㄌㄨˋ;ㄐ丨ㄠˇ;ㄐㄩㄝˊ
解,ㄐ丨ㄝˇ;ㄐ丨ㄝˋ;ㄒ丨ㄝˋ
語,ㄩˇ;ㄩˋ
說,ㄕㄨㄛ;ㄕㄨㄟˋ
請,ㄐ丨ㄥˋ;ㄑ丨ㄥˇ
調,ㄉ丨ㄠˋ;ㄊ丨ㄠˊ
論,ㄌㄨㄣˊ;ㄌㄨㄣˋ
識,ㄓˋ;ㄕˋ
讀,ㄉㄡˋ;ㄉㄨˊ
谷,ㄍㄨˇ;ㄩˋ
豁,ㄏㄨㄛˋ;ㄏㄨㄚˊ
貉,ㄏㄜˊ;ㄇㄛˋ
賁,ㄅㄣ;ㄅ丨ˋ
賈,ㄍㄨˇ;ㄐ丨ㄚˇ
質,ㄓˊ;ㄓˋ
足,ㄗㄨˊ;ㄐㄩˋ
跑,ㄆㄠˊ;ㄆㄠˇ
躂,ㄊㄚˋ;˙ㄉㄚ
身,ㄕㄣ;ㄐㄩㄢ
車,ㄔㄜ;ㄐㄩ
軋,ㄍㄚˊ;丨ㄚˋ
載,ㄗㄞˇ;ㄗㄞˋ
輾,ㄋ丨ㄢˇ ;ㄓㄢˇ
轂,ㄍㄨ;ㄍㄨˇ
